,Network,User,Date,Text,Positive,Neutral,Negative,Compound
0,@CNN,❌Caspergirl #M_A_G_A_❌,Mon Sep 03 16:35:40 +0000 2018,@smalltownandrew I guess @cnn doesn't realize people aren't listeniing to their lies anymore,0.0,0.797,0.203,-0.4215
1,@CNN,Customer Disservice,Mon Sep 03 16:35:39 +0000 2018,@CNN Do people really judge their food by how photogenic it is?,0.0,1.0,0.0,0.0
2,@CNN,Ruthy Bell 💙,Mon Sep 03 16:35:38 +0000 2018,RT @CNN: Heavy rain and strong wind are pounding South Florida after Tropical Storm Gordon formed near the Florida Keys. Storm warnings and…,0.125,0.792,0.083,0.2732
3,@CNN,Deborah,Mon Sep 03 16:35:37 +0000 2018,RT @CNN: Heavy rain and strong wind are pounding South Florida after Tropical Storm Gordon formed near the Florida Keys. Storm warnings and…,0.125,0.792,0.083,0.2732
4,@CNN,* * *     6️⃣2️⃣,Mon Sep 03 16:35:36 +0000 2018,"RT @FeratOsmanoglu: #RaminHosseinPanahi'nin idam cezasına sessiz kalmak bu idam cezasına ortak olmaktır
@AP 
@UNHumanRights 
@WHO
@UN 
@NAT…",0.0,1.0,0.0,0.0
5,@CNN,Kristine VZ,Mon Sep 03 16:35:36 +0000 2018,@CNN Wow,0.792,0.208,0.0,0.5859
6,@CNN,Mark Graben,Mon Sep 03 16:35:34 +0000 2018,RT @MikeDomansky: @Bamafanaticfan1 @sdc22554 @bbl58 @TruAlaskan1 @Melissa1opinion @Br_Dusseldorf @TheScoop8 @MAJMO50 @MarkGraben @MartDrisc…,0.0,1.0,0.0,0.0
7,@CNN,M3racle 🇮🇳,Mon Sep 03 16:35:33 +0000 2018,@mossman404 @Enigmaticjones @CNN Nope... Would create problem of stealth edit,0.16,0.534,0.305,-0.2263
8,@CNN,(((Kevin Kalmes))),Mon Sep 03 16:35:32 +0000 2018,"RT @CNN: A massive fire engulfed Brazil's National Museum Sunday, destroying priceless artifacts dating back centuries. https://t.co/56C6kZ…",0.0,0.7,0.3,-0.7184
9,@CNN,Colton Adams,Mon Sep 03 16:35:29 +0000 2018,@VGreenGoblinV @CNN Anyone who disagrees with the left is a bot apparently. Who cares about followers and tweet num… https://t.co/0VDICha1yo,0.135,0.762,0.103,0.1779
10,@CNN,Glenn Johnson,Mon Sep 03 16:35:26 +0000 2018,"The Seychelles: Perfect beaches, perfect ocean. Oh and a nexus of #trumprussiacollusion which isn’t mentioned here,… https://t.co/vsK5Xrrtmi",0.346,0.654,0.0,0.8126
11,@CNN,Matthew weiss❌,Mon Sep 03 16:35:25 +0000 2018,RT @cashbrittany23: @SATodayNews But @CNN doesn't believe you? Wonder why they won't report fair &amp; balanced?,0.0,0.866,0.134,-0.323
12,@CNN,Digital Butcher,Mon Sep 03 16:35:23 +0000 2018,"@Naq_asghar @CNN Yea I really don’t care, it isn’t my land that goes to shit🤷🏽‍♂️",0.211,0.789,0.0,0.539
13,@CNN,SummerShine,Mon Sep 03 16:35:23 +0000 2018,@NascarChuck336 @BreitbartNews @CNN That's b/c @CNN fudges its numbers by running contracts to have their spew play… https://t.co/mzO9yUhuwI,0.0,1.0,0.0,0.0
14,@CNN,weyek,Mon Sep 03 16:35:23 +0000 2018,RT @CNN: The road to the nation’s highest court wasn’t often an easy one. #RBGMovie reveals the inspiring life and career of Supreme Court…,0.307,0.693,0.0,0.8519
15,@CNN,Edson Gonzalez,Mon Sep 03 16:35:21 +0000 2018,"RT @CNN: This life-size, drivable Bugatti is made out of 1 million Legos https://t.co/PVPS4O3vJk https://t.co/lfaNi73sZZ",0.0,1.0,0.0,0.0
16,@CNN,Kaya Jones (In TechniColor),Mon Sep 03 16:35:20 +0000 2018,"RT @KayaColor: @CNNPolitics @JW4Resistance Luckily, most of them are white &amp; privileged so they don't have that problem.

@CNN -  There are…",0.32,0.68,0.0,0.8155
17,@CNN,Hagiographer,Mon Sep 03 16:35:18 +0000 2018,"@PeterZiebart @CNN By which I mean, those who adhere to the rule of law and desire to restore morality, values, and… https://t.co/tRnEM36AHB",0.297,0.703,0.0,0.765
18,@CNN,Diana Rugg,Mon Sep 03 16:35:17 +0000 2018,RT @CNN: Heavy rain and strong wind are pounding South Florida after Tropical Storm Gordon formed near the Florida Keys. Storm warnings and…,0.125,0.792,0.083,0.2732
19,@CNN,George Orwell,Mon Sep 03 16:35:16 +0000 2018,@CNN what is wrong with people ?? an in depth movie into the life of the #FirstMan on the moon .. and all people do… https://t.co/HfaEfd5HdC,0.0,0.878,0.122,-0.5362
20,@CNN,Paul Marr,Mon Sep 03 16:35:14 +0000 2018,"RT @CNN: Ten people have been shot at an apartment complex in San Bernardino, California, police say https://t.co/wE6Fb3U7dw https://t.co/G…",0.0,1.0,0.0,0.0
21,@CNN,Txema Miron,Mon Sep 03 16:35:13 +0000 2018,"RT @CNN: These are some of the best (and most Instagram-friendly) frozen treats you can get in New York City, from flash frozen sundaes to…",0.149,0.851,0.0,0.6369
22,@CNN,Terry Finley,Mon Sep 03 16:35:11 +0000 2018,@CNN @JackKingston @CNNOpinion This would really mean something if his cult followers were more than 26% Of registe… https://t.co/u9CgRbCMVx,0.0,1.0,0.0,0.0
23,@CNN,Mark Graben,Mon Sep 03 16:35:10 +0000 2018,RT @Bamafanaticfan1: @MikeDomansky @sdc22554 @bbl58 @TruAlaskan1 @Melissa1opinion @Br_Dusseldorf @TheScoop8 @MAJMO50 @MarkGraben @MartDrisc…,0.0,1.0,0.0,0.0
24,@CNN,راضي,Mon Sep 03 16:35:09 +0000 2018,RT @djkingassassin: Purchases from @Amazon @Apple computer order destroys inner-city Pastors life. https://t.co/vo7wEQsAp6 #GovernmentSpywa…,0.0,0.783,0.217,-0.5574
25,@CNN,David Schantz,Mon Sep 03 16:35:09 +0000 2018,Joe Biden Labor friend @cnn #InsidePolitcs,0.39,0.61,0.0,0.4939
26,@CNN,Farm Chick,Mon Sep 03 16:35:09 +0000 2018,"RT @DonaldJTrumpJr: .@CNN, you just lied again by saying you don’t lie. You said Lanny Davis declined to comment when he was in fact a sour…",0.0,0.902,0.098,-0.3818
27,@CNN,❌Rick❌  🇨🇦,Mon Sep 03 16:35:07 +0000 2018,RT @MajedAleisa: In #Iran For christians sentenced to jail for 45 years just for believing in Jesus Christ! You won't hear this on @CNN! ht…,0.0,0.934,0.066,-0.1739
28,@CNN,Remus the Werewolf #GlovesOff🌊,Mon Sep 03 16:35:06 +0000 2018,"RT @AynRandPaulRyan: Good news! @CNN has moved 11 seats toward these Democrats:

#CA45 @katieporteroc 
#CA50 @ACampaNajjar
#IA04 @Scholten4…",0.158,0.842,0.0,0.4926
